actual,proposed
0.0,0.19734594225883484
0.0,0.19460204243659973
0.0,0.1920032799243927
0.0,0.1893545389175415
0.0,0.18678784370422363
0.0,0.18425844609737396
0.0,0.1818297654390335
0.0,0.17965655028820038
0.0,0.1771446019411087
0.0,0.17469733953475952
0.0,0.1725866049528122
0.0,0.1703878939151764
0.0,0.16827964782714844
0.0,0.16410018503665924
0.0,0.16210798919200897
0.0,0.1600959450006485
0.0,0.1562069207429886
0.0,0.1544104963541031
0.0,0.1525648683309555
0.0,0.1507769674062729
0.0,0.14903581142425537
0.0,0.14732171595096588
0.0,0.14561325311660767
0.0,0.14389149844646454
0.0,0.1421695202589035
0.0,0.14050574600696564
0.0,0.13883811235427856
0.0,0.13724981248378754
0.0,0.1357250213623047
0.0,0.1342071294784546
0.0,0.13271461427211761
0.0,0.1312732696533203
0.0,0.12984690070152283
0.0,0.12850147485733032
0.0,0.12719447910785675
0.0,0.1259065717458725
0.0,0.12459107488393784
0.0,0.12331777811050415
0.0,0.12205347418785095
0.0,0.1207648441195488
0.0,0.11945284157991409
0.0,0.11814910918474197
0.0,0.11685335636138916
0.0,0.11566324532032013
0.0,0.1145123764872551
0.0,0.11335693299770355
0.0,0.11225858330726624
0.0,0.11121081560850143
0.0,0.10924547910690308
0.0,0.10830795019865036
0.0,0.10735814273357391
0.0,0.10644440352916718
0.0,0.10560274124145508
0.0,0.10384344309568405
0.0,0.10309445858001709
0.0,0.10237294435501099
0.0,0.10164017975330353
0.0,0.10091520100831985
0.0,0.10021477192640305
